TIME,FTSE,BCBUTE02,BRBUFT02,BRVSLV02,BSSPFT02,BVBUTE02,CCUSMA02,CP080000,CSINFT,LOCOSTNO,PIEAMI01,SLRTCR03,XTEXVA01
2000-02-01,6232.60009765625,-7.6,29.1,16.1,-5.8,15.2,32.591102796691445,46.5,23.0,100.52821960633301,79.7883354423099,31.258775456559434,11.3880346236587
2000-03-01,6540.2001953125,-2.9,19.8,20.3,-12.9,16.3,33.27034896444152,46.25,20.3,100.614725696992,79.7883354423099,91.77946777170715,9.51650664969223
2000-03-31,6327.39990234375,-4.9322580645161285,21.929032258064517,26.106451612903232,-12.512903225806454,19.783870967741933,33.023508102453185,45.814516129032256,18.75161290322581,100.67587919150684,79.7883354423099,54.730866564906684,13.952242515477558
2000-04-01,6328.466569010417,-5.0,22.0,26.3,-12.5,19.9,33.01528007372024,45.8,18.7,100.677917641324,79.7883354423099,53.49591319134665,14.100100377670401
2000-04-30,6359.39990234375,-3.26,20.066666666666666,20.886666666666667,-15.786666666666667,20.286666666666672,36.18969605343489,45.655,23.24333333333333,100.71931366511959,79.7883354423099,60.68065959273858,4.50288410524476
2000-05-01,6357.893460181452,-3.2,20.0,20.7,-15.9,20.3,36.29915867342506,45.65,23.4,100.720741114216,79.7883354423099,60.92840946864865,4.17194561309215
2000-05-31,6312.7001953125,-5.135483870967742,27.838709677419356,21.764516129032263,-13.867741935483872,18.945161290322577,35.79968427766527,45.698387096774184,20.980645161290322,100.74656289109213,79.7883354423099,56.15923941482643,12.311640110260004
2000-06-01,6314.453515625,-5.2,28.1,21.8,-13.8,18.9,35.78303513113994,45.7,20.9,100.74742361698799,79.7883354423099,56.00026707969902,12.5829632601656
2000-06-30,6365.2998046875,-4.619999999999999,12.44,22.28333333333333,-10.32,0.14666666666666656,35.462798375626484,46.76333333333334,24.67,100.762730484046,79.7883354423099,49.470500221736486,4.526178913050239
2000-07-01,6375.215946320564,-4.6,11.9,22.3,-10.2,-0.5,35.45175572888464,46.8,24.8,100.76325830704799,79.7883354423099,49.24533584732399,4.248358763149709
2000-07-31,6672.7001953125,-7.116129032258066,19.738709677419354,16.10645161290323,-11.264516129032259,-0.5967741935483871,37.01346748897967,44.76774193548388,22.47741935483871,100.76983312821156,79.7883354423099,37.63702430530979,2.0288754279023
2000-08-01,6660.490517893146,-7.2,20.0,15.9,-11.3,-0.6,37.065524547649495,44.7,22.4,100.77005228891701,79.7883354423099,37.25008058724264,1.95489265006072
2000-08-31,6294.2001953125,-7.974193548387097,25.516129032258068,12.996774193548386,-14.3,-0.9870967741935484,40.10122863993273,44.21612903225808,28.4,100.76530590124635,79.7883354423099,77.11120502856453,-3.1385543360584864
2000-09-01,6299.006852213542,-8.0,25.7,12.9,-14.4,-1.0,40.20241877634217,44.2,28.6,100.76514768832399,79.7883354423099,78.4399091766086,-3.30833590226246
2000-09-30,6438.39990234375,-5.1,33.24,18.99,-10.726666666666668,3.4466666666666668,40.058008479010795,44.82833333333333,28.21333333333333,100.74572999188335,79.7883354423099,52.62824738083853,-2.3712980138234045
2000-10-01,6429.143661499023,-5.0,33.5,19.2,-10.6,3.6,40.053028813585584,44.85,28.2,100.74506041614401,79.7883354423099,51.7381900775361,-2.33898636249792
2000-11-01,6142.2001953125,-1.6,11.3,13.1,-10.6,3.0,40.38579849840379,45.05,29.7,100.70751843541599,79.7883354423099,58.7423627479125,1.23574748124456
2000-12-01,6222.5,0.6,35.5,15.6,-5.6,2.2,38.308868658349745,43.7,24.8,100.65252106215901,79.7883354423099,52.529011689338944,6.026888986437019
2001-01-01,6297.5,0.2,33.4,10.8,0.3,7.3,38.378307357854474,40.95,23.7,100.58237115474701,79.7883354423099,57.504253400914905,1.7131167217153
2001-02-01,5917.89990234375,-1.8,36.6,16.6,-10.4,7.3,38.68053816290693,40.3,22.7,100.49913915081699,79.7883354423099,44.86376212828544,5.03855927115721
2001-03-01,5633.7001953125,0.6,31.3,13.0,-12.6,5.7,38.66989732335793,39.1,30.2,100.404515556975,79.7883354423099,92.99582409925988,-2.74734410126854
2001-03-31,5967.0,-0.2709677419354839,23.074193548387104,10.000000000000002,-10.95483870967742,0.8612903225806451,39.08490268372175,39.14838709677419,28.941935483870967,100.30521938215307,79.7883354423099,60.146461179430545,-4.589586136002263
2001-04-01,5961.306673177084,-0.3,22.8,9.9,-10.9,0.7,39.09873619573386,39.15,28.9,100.301909509659,79.7883354423099,59.05148241543623,-4.65099420382672
2001-04-30,5796.2001953125,0.4733333333333333,28.31,9.706666666666667,-5.68,-2.2966666666666664,37.88989107460936,39.68166666666667,32.38,100.19441553489884,79.7883354423099,61.714356864895294,-1.7340607112064983
2001-05-01,5791.242124495968,0.5,28.5,9.7,-5.5,-2.4,37.84820676008783,39.7,32.5,100.190708846114,79.7883354423099,61.8061801217732,-1.63347679766787
2001-05-31,5642.5,-1.7258064516129032,30.241935483870968,6.119354838709677,-11.016129032258064,4.858064516129033,39.070921458907904,39.55483870967742,32.20967741935484,100.06907159659788,79.7883354423099,67.16494392596753,-5.254102651410454
2001-06-01,5638.720003255208,-1.8,30.3,6.0,-11.2,5.1,39.11167861553524,39.55,32.2,100.065017021614,79.7883354423099,67.34356938610733,-5.37479017986854
2001-06-30,5529.10009765625,1.39,30.88,12.476666666666665,-13.133333333333333,7.42,38.44020834031987,39.985,14.606666666666667,99.91705541437145,79.7883354423099,59.59678189458189,-3.9814599460310185
2001-07-01,5523.161384828629,1.5,30.9,12.7,-13.2,7.5,38.417054192898654,40.0,14.0,99.91195328998378,79.7883354423099,59.32965129142585,-3.9334140758986895
2001-07-31,5345.0,8.951612903225808,31.480645161290322,13.667741935483873,-11.941935483870967,-1.403225806451613,36.871375126661775,42.32258064516129,15.161290322580646,99.72988696353391,79.7883354423099,43.68089497701807,-7.907406945112776
2001-08-01,5330.754835559476,9.2,31.5,13.7,-11.9,-1.7,36.819852491120535,42.4,15.2,99.72381808598558,79.7883354423099,43.15926976653781,-8.03987337408658
2001-08-31,4903.39990234375,-0.5741935483870968,9.629032258064516,12.538709677419355,-11.416129032258064,-4.796774193548386,34.35473445392181,42.78709677419354,13.458064516129033,99.51793069593441,79.7883354423099,108.73693158781315,-1.7163411987504475
2001-09-01,4907.943245442709,-0.9,8.9,12.5,-11.4,-4.9,34.27256385268185,42.8,13.4,99.5110677829327,79.7883354423099,110.92285364852232,-1.50555679290591
2001-09-30,5039.7001953125,-3.123333333333333,12.863333333333333,19.556666666666672,-19.713333333333328,-9.733333333333334,35.27870765236111,43.38,22.87333333333333,99.30444779916769,79.7883354423099,69.048279219985,-2.5556374626910565
2001-10-01,5044.822067260742,-3.2,13.0,19.8,-20.0,-9.9,35.313402266143164,43.4,23.2,99.2973229721413,79.7883354423099,67.60432837762166,-2.59184714095951
2001-11-01,5203.60009765625,-4.2,12.0,22.9,-25.8,-9.7,35.51740546299571,42.9,15.3,99.1141705922222,79.7883354423099,66.3660520601332,-8.82653976793775
2001-12-01,5217.39990234375,3.2,33.4,20.0,-27.9,-7.9,36.13019358658808,43.5,17.8,98.9914841338221,79.7883354423099,53.90921717925306,-14.2586663975718
2002-01-01,5164.7998046875,-4.8,22.0,18.5,-27.9,-8.6,36.862201128470375,44.6,19.2,98.93032957395194,79.7883354423099,67.80291670527522,-10.1163812162361
2002-02-01,5101.0,-1.6,29.2,25.6,-21.5,-9.1,36.69151351407304,45.35,19.1,98.9192813167254,79.7883354423099,54.378385082760474,-9.82195817546365
2002-03-01,5271.7998046875,2.4,28.8,22.0,-16.5,-1.7,36.493547609733355,45.55,19.6,98.94032208208759,79.7883354423099,99.79860704224456,-2.59762247743721
